YUG.cif
123	O89	0.50000	0.82405	0.00000	O
124	SI35	0.42053	0.88316	0.17691	SI
125	SI36	0.42746	0.80780	0.01070	SI
126	O90	0.37501	0.62500	0.24999	O
127	O91	0.33004	0.58424	0.38815	O
128	O92	0.36290	0.67675	0.40511	O
129	O93	0.24998	0.57405	0.49999	O
130	SI37	0.32944	0.63316	0.32307	SI
131	SI38	0.32256	0.55780	0.48929	SI
132	O94	0.12501	0.87500	0.24999	O
133	O95	0.08004	0.83424	0.38815	O
134	O96	0.11290	0.92675	0.40511	O
135	O97	0.00001	0.89676	0.24999	O
136	O98	0.07288	0.75000	0.47375	O
137	O99	-0.00002	0.82405	0.49999	O
138	SI39	0.07944	0.88316	0.32307	SI
139	SI40	0.07256	0.80780	0.48929	SI
140	O100	0.33004	0.91576	0.38815	O
141	O101	0.36290	0.82325	0.40511	O
142	O102	0.25001	0.85324	0.24999	O
143	O103	0.32288	1.00000	0.47375	O
144	O104	0.24998	0.92595	0.49999	O
145	SI41	0.32944	0.86684	0.32307	SI
146	SI42	0.32256	0.94220	0.48929	SI
147	O105	0.08004	0.66576	0.38815	O
148	O106	0.11290	0.57325	0.40511	O
149	O107	0.00001	0.60324	0.24999	O
150	O108	-0.00002	0.67595	0.49999	O
151	SI43	0.07944	0.61684	0.32307	SI
152	SI44	0.07256	0.69220	0.48929	SI
153	O109	0.16994	0.91576	0.11184	O
154	O110	0.13708	0.82325	0.09488	O
155	O111	0.17709	1.00000	0.02624	O
156	O112	0.25000	0.92595	0.00000	O
157	SI45	0.17053	0.86684	0.17691	SI
158	SI46	0.17746	0.94220	0.01070	SI
159	O113	0.41994	0.66576	0.11184	O
160	O114	0.38708	0.57325	0.09488	O
161	O115	0.50001	0.60324	0.24999	O
162	O116	0.50000	0.67595	0.00000	O
163	SI47	0.42053	0.61684	0.17691	SI
164	SI48	0.42746	0.69220	0.01070	SI
165	O117	0.12499	0.62500	0.74998	O
166	O118	0.16996	0.58424	0.61183	O
167	O119	0.13711	0.67675	0.59487	O
168	O120	0.24999	0.64676	0.74998	O
169	SI49	0.17056	0.63316	0.67690	SI
170	SI50	0.17744	0.55780	0.51069	SI
171	O121	0.37499	0.87500	0.74998	O
172	O122	0.41996	0.83424	0.61183	O
173	O123	0.38711	0.92675	0.59487	O
174	O124	0.49999	0.89676	0.74998	O
175	O125	0.42712	0.75000	0.52623	O
176	O126	0.49998	0.82405	0.49999	O
177	SI51	0.42056	0.88316	0.67690	SI
178	SI52	0.42744	0.80780	0.51069	SI
179	O127	0.37499	0.62500	0.74998	O
180	O128	0.33006	0.58424	0.88814	O
181	O129	0.36292	0.67675	0.90510	O
182	O130	0.25000	0.57405	0.99998	O
183	SI53	0.32944	0.63316	0.82314	SI
184	SI54	0.32254	0.55780	0.98928	SI
185	O131	0.12499	0.87500	0.74998	O
186	O132	0.08006	0.83424	0.88814	O
187	O133	0.11292	0.92675	0.90510	O
188	O134	-0.00001	0.89676	0.74998	O
189	O135	0.07291	0.75000	0.97374	O
190	O136	0.00000	0.82405	0.99998	O
191	SI55	0.07944	0.88316	0.82314	SI
192	SI56	0.07254	0.80780	0.98928	SI
193	O137	0.33006	0.91576	0.88814	O
194	O138	0.36292	0.82325	0.90510	O
195	O139	0.24999	0.85324	0.74998	O
196	O140	0.32291	1.00000	0.97374	O
197	O141	0.25000	0.92595	0.99998	O
198	SI57	0.32944	0.86684	0.82314	SI
199	SI58	0.32254	0.94220	0.98928	SI
200	O142	0.08006	0.66576	0.88814	O
201	O143	0.11292	0.57325	0.90510	O
202	O144	-0.00001	0.60324	0.74998	O
203	O145	0.00000	0.67595	0.99998	O
204	SI59	0.07944	0.61684	0.82314	SI
205	SI60	0.07254	0.69220	0.98928	SI
206	O146	0.16996	0.91576	0.61183	O
207	O147	0.13711	0.82325	0.59487	O
208	O148	0.17712	1.00000	0.52623	O
209	SI61	0.17056	0.86684	0.67690	SI
210	SI62	0.17744	0.94220	0.51069	SI
211	O149	0.41996	0.66576	0.61183	O
212	O150	0.38711	0.57325	0.59487	O
213	O151	0.49999	0.60324	0.74998	O
214	O152	0.49998	0.67595	0.49999	O
215	SI63	0.42056	0.61684	0.67690	SI
216	SI64	0.42744	0.69220	0.51069	SI
217	O153	0.62501	0.12500	0.24999	O
218	O154	0.66994	0.08424	0.11184	O
219	O155	0.63708	0.17675	0.09488	O
220	O156	0.75001	0.14676	0.24999	O
221	O157	0.67709	-0.00000	0.02624	O
222	O158	0.75000	0.07405	0.00000	O
223	SI65	0.67053	0.13316	0.17691	SI
224	SI66	0.67746	0.05780	0.01070	SI
225	O159	0.87501	0.37500	0.24999	O
226	O160	0.91994	0.33424	0.11184	O
227	O161	0.88708	0.42675	0.09488	O
228	O162	1.00001	0.39676	0.24999	O
229	O163	0.92709	0.25000	0.02624	O
230	O164	1.00000	0.32405	0.00000	O
231	SI67	0.92053	0.38316	0.17691	SI
232	SI68	0.92746	0.30780	0.01070	SI
233	O165	0.87501	0.12500	0.24999	O
234	O166	0.83004	0.08424	0.38815	O
235	O167	0.86290	0.17675	0.40511	O
236	O168	0.82288	-0.00000	0.47375	O
237	O169	0.74998	0.07405	0.49999	O
238	SI69	0.82944	0.13316	0.32307	SI
239	SI70	0.82256	0.05780	0.48929	SI
240	O170	0.62501	0.37500	0.24999	O
241	O171	0.58004	0.33424	0.38815	O
242	O172	0.61290	0.42675	0.40511	O
243	O173	0.57288	0.25000	0.47375	O
244	SI71	0.57944	0.38316	0.32307	SI
245	SI72	0.57256	0.30780	0.48929	SI
246	O174	0.83004	0.41576	0.38815	O
247	O175	0.86290	0.32325	0.40511	O
248	O176	0.75001	0.35324	0.24999	O
249	O177	0.82288	0.50000	0.47375	O
250	O178	0.74998	0.42595	0.49999	O
251	SI73	0.82944	0.36684	0.32307	SI
252	SI74	0.82256	0.44220	0.48929	SI
253	O179	0.58004	0.16576	0.38815	O
254	O180	0.61290	0.07325	0.40511	O
255	SI75	0.57944	0.11684	0.32307	SI
256	SI76	0.57256	0.19220	0.48929	SI
257	O181	0.66994	0.41576	0.11184	O
258	O182	0.63708	0.32325	0.09488	O
259	O183	0.67709	0.50000	0.02624	O
260	O184	0.75000	0.42595	0.00000	O
261	SI77	0.67053	0.36684	0.17691	SI
262	SI78	0.67746	0.44220	0.01070	SI
263	O185	0.91994	0.16576	0.11184	O
264	O186	0.88708	0.07325	0.09488	O
265	O187	1.00001	0.10324	0.24999	O
266	O188	1.00000	0.17595	0.00000	O
267	SI79	0.92053	0.11684	0.17691	SI
268	SI80	0.92746	0.19220	0.01070	SI
269	O189	0.62499	0.12500	0.74998	O
270	O190	0.66996	0.08424	0.61183	O
271	O191	0.63711	0.17675	0.59487	O
272	O192	0.74999	0.14676	0.74998	O
273	O193	0.67712	-0.00000	0.52623	O
274	SI81	0.67056	0.13316	0.67690	SI
275	SI82	0.67744	0.05780	0.51069	SI
276	O194	0.87499	0.37500	0.74998	O
277	O195	0.91996	0.33424	0.61183	O
278	O196	0.88711	0.42675	0.59487	O
279	O197	0.99999	0.39676	0.74998	O
280	O198	0.92712	0.25000	0.52623	O
281	O199	0.99998	0.32405	0.49999	O
282	SI83	0.92056	0.38316	0.67690	SI
283	SI84	0.92744	0.30780	0.51069	SI
284	O200	0.87499	0.12500	0.74998	O
285	O201	0.83006	0.08424	0.88814	O
286	O202	0.86292	0.17675	0.90510	O
287	O203	0.82291	-0.00000	0.97374	O
288	O204	0.75000	0.07405	0.99998	O
289	SI85	0.82944	0.13316	0.82314	SI
290	SI86	0.82254	0.05780	0.98928	SI
291	O205	0.62499	0.37500	0.74998	O
292	O206	0.58006	0.33424	0.88814	O
293	O207	0.61292	0.42675	0.90510	O
294	O208	0.57291	0.25000	0.97374	O
295	O209	0.50000	0.32405	0.99998	O
296	SI87	0.57944	0.38316	0.82314	SI
297	SI88	0.57254	0.30780	0.98928	SI
298	O210	0.83006	0.41576	0.88814	O
299	O211	0.86292	0.32325	0.90510	O
300	O212	0.74999	0.35324	0.74998	O
301	O213	0.82291	0.50000	0.97374	O
302	O214	0.75000	0.42595	0.99998	O
303	SI89	0.82944	0.36684	0.82314	SI
304	SI90	0.82254	0.44220	0.98928	SI
305	O215	0.58006	0.16576	0.88814	O
306	O216	0.61292	0.07325	0.90510	O
307	O217	0.50000	0.17595	0.99998	O
308	SI91	0.57944	0.11684	0.82314	SI
309	SI92	0.57254	0.19220	0.98928	SI
310	O218	0.66996	0.41576	0.61183	O
311	O219	0.63711	0.32325	0.59487	O
312	O220	0.67712	0.50000	0.52623	O
313	SI93	0.67056	0.36684	0.67690	SI
314	SI94	0.67744	0.44220	0.51069	SI
315	O221	0.91996	0.16576	0.61183	O
316	O222	0.88711	0.07325	0.59487	O
317	O223	0.99999	0.10324	0.74998	O
318	O224	0.99998	0.17595	0.49999	O
319	SI95	0.92056	0.11684	0.67690	SI
320	SI96	0.92744	0.19220	0.51069	SI
321	O225	0.62501	0.62500	0.24999	O
322	O226	0.66994	0.58424	0.11184	O
323	O227	0.63708	0.67675	0.09488	O
324	O228	0.75001	0.64676	0.24999	O
325	O229	0.75000	0.57405	0.00000	O
326	SI97	0.67053	0.63316	0.17691	SI
327	SI98	0.67746	0.55780	0.01070	SI
328	O230	0.87501	0.87500	0.24999	O
329	O231	0.91994	0.83424	0.11184	O
330	O232	0.88708	0.92675	0.09488	O
331	O233	1.00001	0.89676	0.24999	O
332	O234	0.92709	0.75000	0.02624	O
333	O235	1.00000	0.82405	0.00000	O
334	SI99	0.92053	0.88316	0.17691	SI
335	SI100	0.92746	0.80780	0.01070	SI
336	O236	0.87501	0.62500	0.24999	O
337	O237	0.83004	0.58424	0.38815	O
338	O238	0.86290	0.67675	0.40511	O
