ABW.cif
19.746	10.508	17.54	90.0	90.0	90.0
140	O103	0.59501	0.25000	0.00000	O
141	SI38	0.57860	0.12505	0.04966	SI
142	O104	0.65502	0.50000	0.25000	O
143	SI39	0.67143	0.37505	0.29966	SI
144	O105	1.00000	0.12505	0.07383	O
145	O106	0.90499	0.25000	0.00000	O
146	SI40	0.92140	0.12505	0.04966	SI
147	O107	0.59501	0.00000	0.00000	O
148	O108	0.90499	0.00000	0.00000	O
149	O109	0.75003	0.12505	0.67617	O
150	O110	0.65502	-0.00000	0.75000	O
151	O111	0.62499	0.12505	0.62503	O
152	SI41	0.67143	0.12505	0.70034	SI
153	O112	1.00000	0.37505	0.92617	O
154	O113	0.90499	0.25000	1.00000	O
155	O114	0.87501	0.37505	0.87503	O
156	SI42	0.92140	0.37505	0.95034	SI
157	O115	0.84498	-0.00000	0.75000	O
158	O116	0.87501	0.12505	0.62503	O
159	SI43	0.82862	0.12505	0.70034	SI
160	O117	0.59501	0.25000	1.00000	O
161	O118	0.62499	0.37505	0.87503	O
162	SI44	0.57860	0.37505	0.95034	SI
163	O119	0.65502	0.25000	0.75000	O
164	O120	0.90499	0.50000	1.00000	O
165	O121	0.84498	0.25000	0.75000	O
166	O122	0.59501	0.50000	1.00000	O
167	O123	0.75003	0.37505	0.82383	O
168	O124	0.84498	0.50000	0.75000	O
169	SI45	0.82862	0.37505	0.79966	SI
170	SI46	0.57860	0.12505	0.54966	SI
171	O125	0.65502	0.50000	0.75000	O
172	SI47	0.67143	0.37505	0.79966	SI
173	O126	1.00000	0.12505	0.57383	O
174	SI48	0.92140	0.12505	0.54966	SI
175	O127	0.59501	-0.00000	0.50000	O
176	O128	0.90499	-0.00000	0.50000	O
177	O129	0.75003	0.62505	0.17617	O
178	O130	0.62499	0.62505	0.12503	O
179	SI49	0.67143	0.62505	0.20034	SI
180	O131	1.00000	0.87505	0.42617	O
181	O132	0.90499	0.75000	0.50000	O
182	O133	0.87501	0.87505	0.37503	O
183	SI50	0.92140	0.87505	0.45034	SI
184	O134	0.87501	0.62505	0.12503	O
185	SI51	0.82862	0.62505	0.20034	SI
186	O135	0.59501	0.75000	0.50000	O
187	O136	0.62499	0.87505	0.37503	O
188	SI52	0.57860	0.87505	0.45034	SI
